epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.514,2.44648,4.20015,1.92105,0.84482,0.02294,0.03511,0.01423,1.96279,14.5251,1.53065,0.000470729,0.000470729,0.000470729
2,1797.07,2.40291,3.53125,1.83702,0.18244,0.14458,0.07579,0.02846,1.91926,17.1313,1.56515,0.000928311,0.000928311,0.000928311
3,2242.26,2.41433,3.3458,1.84581,0.45722,0.09191,0.06992,0.02856,2.11873,13.4018,1.58066,0.00136703,0.00136703,0.00136703
4,2684.65,2.42024,3.1829,1.79426,0.19046,0.19288,0.09683,0.04038,2.00117,14.5165,1.57825,0.00134412,0.00134412,0.00134412
5,3071.01,2.28889,3.01,1.76248,0.23153,0.08234,0.06855,0.0323,1.94603,6.60098,1.57769,0.00131582,0.00131582,0.00131582
6,3390.71,2.25036,2.97763,1.7816,0.1858,0.1467,0.09628,0.0379,1.91078,8.6567,1.5291,0.00128753,0.00128753,0.00128753
7,3715.17,2.25774,2.80119,1.75562,0.4677,0.19755,0.14573,0.05578,1.89009,10.7382,1.54024,0.00125923,0.00125923,0.00125923
8,4045.29,2.22169,2.79989,1.69818,0.50306,0.15216,0.12676,0.05005,1.88869,11.3382,1.54923,0.00123094,0.00123094,0.00123094
9,4372.44,2.20476,2.76029,1.73856,0.20824,0.16777,0.11746,0.04659,1.87324,5.65061,1.49377,0.00120265,0.00120265,0.00120265
10,4699.53,2.17957,2.67467,1.69159,0.38073,0.19964,0.15975,0.06772,1.88168,6.23504,1.47113,0.00117435,0.00117435,0.00117435
11,5026.99,2.16716,2.66048,1.6949,0.29008,0.18709,0.14857,0.06123,1.87671,7.55716,1.46568,0.00114606,0.00114606,0.00114606
12,5360.23,2.17392,2.62804,1.70174,0.37725,0.16292,0.15306,0.06399,1.91889,3.75596,1.47075,0.00111776,0.00111776,0.00111776
13,5690.94,2.13752,2.56972,1.63487,0.26088,0.19865,0.15327,0.07107,1.79093,5.75044,1.44187,0.00108947,0.00108947,0.00108947
14,6021.23,2.1062,2.56173,1.67117,0.27239,0.18562,0.15346,0.06929,1.85513,12.7282,1.50452,0.00106118,0.00106118,0.00106118
15,6347.79,2.08566,2.44938,1.65684,0.28237,0.2406,0.16628,0.07585,1.79203,4.74678,1.44453,0.00103288,0.00103288,0.00103288
16,6672.28,2.07974,2.41629,1.62779,0.30665,0.26133,0.18328,0.08271,1.79624,5.45649,1.42838,0.00100459,0.00100459,0.00100459
17,6994.26,2.03957,2.35892,1.62119,0.29201,0.23458,0.18939,0.08347,1.78986,4.67211,1.42464,0.000976293,0.000976293,0.000976293
